PropertyID,ParcelID,LandUse,PropertyAddress,PropertyCity,Acreage,TaxDistrict,LandValue,BuildingValue,TotalValue,YearBuilt,Bedrooms,FullBath,HalfBath,OwnerID
11694,018 07 0 045.00,SINGLE FAMILY,202  LUCIEN RD, GOODLETTSVILLE,0.45,CITY OF GOODLETTSVILLE,28000.0,101900.0,132600.0,1957,3,1,0,74
22715,018 07 0 062.00,VACANT RESIDENTIAL LAND,507  MATHES CT, GOODLETTSVILLE,0.43,CITY OF GOODLETTSVILLE,28000.0,207600.0,235600.0,2015,3,2,0,76
48719,018 07 0 064.00,SINGLE FAMILY,511 MATHES  CT, GOODLETTSVILLE,0.45,CITY OF GOODLETTSVILLE,28000.0,140400.0,168400.0,1976,3,2,0,77
8904,018 07 0 070.00,SINGLE FAMILY,508  MATHES CT, GOODLETTSVILLE,0.64,CITY OF GOODLETTSVILLE,28000.0,165500.0,193500.0,1972,3,1,1,78
28156,018 07 0 082.00,SINGLE FAMILY,107  CHARLESTON DR, GOODLETTSVILLE,0.34,CITY OF GOODLETTSVILLE,28000.0,117600.0,145600.0,1976,3,2,0,79
18369,018 07 0 090.00,SINGLE FAMILY,502  MYSTIC HILL DR, GOODLETTSVILLE,0.34,CITY OF GOODLETTSVILLE,28000.0,118600.0,146600.0,1978,3,2,0,80
46860,018 07 0 097.00,SINGLE FAMILY,605  LUCIEN RD, GOODLETTSVILLE,0.43,CITY OF GOODLETTSVILLE,28000.0,96500.0,124500.0,1977,3,2,0,81
44077,018 07 0 104.00,SINGLE FAMILY,205  BRYAN HOUSE DR, GOODLETTSVILLE,0.39,CITY OF GOODLETTSVILLE,28000.0,117900.0,145900.0,1976,3,2,0,82
27163,018 07 0 109.00,SINGLE FAMILY,105  BRYAN HOUSE DR, GOODLETTSVILLE,0.39,CITY OF GOODLETTSVILLE,28000.0,103800.0,131800.0,1977,3,2,0,83
34756,018 07 0 109.00,SINGLE FAMILY,105  BRYAN HOUSE DR, GOODLETTSVILLE,0.39,CITY OF GOODLETTSVILLE,28000.0,103800.0,131800.0,1977,3,2,0,83
22716,018 07 0 142.00,SINGLE FAMILY,301  MYSTIC HILL DR, GOODLETTSVILLE,0.35,CITY OF GOODLETTSVILLE,28000.0,152400.0,180400.0,1985,3,2,0,85
50584,018 07 0 142.00,SINGLE FAMILY,301 MYSTIC HILL  DR, GOODLETTSVILLE,0.35,CITY OF GOODLETTSVILLE,28000.0,152400.0,180400.0,1985,3,2,0,85
25014,018 07 0 150.00,SINGLE FAMILY,316  MYSTIC HILL DR, GOODLETTSVILLE,0.37,CITY OF GOODLETTSVILLE,28000.0,123800.0,151800.0,1987,3,2,0,87
54585,018 07 0 150.00,SINGLE FAMILY,316 MYSTIC HILL  DR, GOODLETTSVILLE,0.37,CITY OF GOODLETTSVILLE,28000.0,123800.0,151800.0,1987,3,2,0,87
41928,018 07 0 153.00,SINGLE FAMILY,407  HITT LN, GOODLETTSVILLE,0.36,CITY OF GOODLETTSVILLE,28000.0,82500.0,110500.0,1970,3,2,0,89
25015,018 07 0 160.00,SINGLE FAMILY,402  CARLTON PL, GOODLETTSVILLE,0.38,CITY OF GOODLETTSVILLE,28000.0,106200.0,134200.0,1989,3,2,0,90
45288,018 07 0 163.00,SINGLE FAMILY,401  CARLTON PL, GOODLETTSVILLE,0.35,CITY OF GOODLETTSVILLE,28000.0,134100.0,162100.0,1989,3,3,0,91
11695,018 08 0 015.00,SINGLE FAMILY,105  ISAAC DR, GOODLETTSVILLE,0.56,CITY OF GOODLETTSVILLE,28000.0,101400.0,131600.0,1960,3,1,1,92
48720,018 08 0 015.00,SINGLE FAMILY,105 ISAAC  DR, GOODLETTSVILLE,0.56,CITY OF GOODLETTSVILLE,28000.0,101400.0,131600.0,1960,3,1,1,92
4517,018 08 0 019.00,SINGLE FAMILY,102  ISAAC DR, GOODLETTSVILLE,0.45,CITY OF GOODLETTSVILLE,28000.0,121100.0,161200.0,1965,3,1,0,94
36504,018 15 0 012.01,SINGLE FAMILY,539  MONCRIEF AVE, GOODLETTSVILLE,0.69,CITY OF GOODLETTSVILLE,28100.0,58700.0,86800.0,1970,4,2,0,123
40659,018 15 0 017.00,SINGLE FAMILY,407  MONCRIEF AVE, GOODLETTSVILLE,0.54,CITY OF GOODLETTSVILLE,26400.0,57400.0,83800.0,1930,2,1,0,124
51970,018 16 0 205.00,DUPLEX,225 GRAVES  RD, GOODLETTSVILLE,0.34,CITY OF GOODLETTSVILLE,15000.0,85900.0,100900.0,1985,4,2,0,127
29470,018 16 0 208.00,CHURCH,408  BRICK CHURCH PIKE, GOODLETTSVILLE,0.48,CITY OF GOODLETTSVILLE,26400.0,77500.0,103900.0,1972,4,2,0,128
18371,019 13 0 037.00,SINGLE FAMILY,119  MYERS ST, GOODLETTSVILLE,0.26,CITY OF GOODLETTSVILLE,24000.0,65300.0,89300.0,1930,3,2,0,129
41929,019 13 0 037.00,SINGLE FAMILY,119  MYERS ST, GOODLETTSVILLE,0.26,CITY OF GOODLETTSVILLE,24000.0,65300.0,89300.0,1930,3,2,0,129
1208,025 03 0 015.00,SINGLE FAMILY,517  MONCRIEF AVE, GOODLETTSVILLE,0.66,CITY OF GOODLETTSVILLE,28100.0,55400.0,85500.0,1943,2,1,0,136
34757,025 03 0 027.00,SINGLE FAMILY,463  MONCRIEF AVE, GOODLETTSVILLE,0.78,CITY OF GOODLETTSVILLE,28100.0,105400.0,133500.0,1945,4,1,1,137
56037,025 03 0 030.00,SINGLE FAMILY,423 MONCRIEF  AVE, GOODLETTSVILLE,0.5,CITY OF GOODLETTSVILLE,26400.0,92300.0,118700.0,1991,3,2,0,138
8905,025 04 0 016.00,SINGLE FAMILY,207  W CEDAR ST, GOODLETTSVILLE,0.32,CITY OF GOODLETTSVILLE,24000.0,61800.0,98400.0,1935,3,1,0,140
45289,025 04 0 016.00,SINGLE FAMILY,207 W CEDAR ST, GOODLETTSVILLE,0.32,CITY OF GOODLETTSVILLE,24000.0,61800.0,98400.0,1935,3,1,0,140
12403,025 04 0 038.00,SINGLE FAMILY,220  W CEDAR ST, GOODLETTSVILLE,0.25,CITY OF GOODLETTSVILLE,24000.0,79600.0,103600.0,1945,3,1,0,142
53118,025 04 0 043.00,SINGLE FAMILY,210 W CEDAR  ST, GOODLETTSVILLE,0.25,CITY OF GOODLETTSVILLE,24000.0,44200.0,68200.0,1938,2,1,0,143
22718,025 04 0 051.00,SINGLE FAMILY,231  MCCOIN DR, GOODLETTSVILLE,0.46,CITY OF GOODLETTSVILLE,26400.0,97700.0,124100.0,1950,3,2,0,144
38076,025 04 0 114.00,SINGLE FAMILY,308  MCCOIN DR, GOODLETTSVILLE,0.36,CITY OF GOODLETTSVILLE,24000.0,143900.0,172600.0,1993,2,2,0,146
9800,025 04 0 130.00,SINGLE FAMILY,101  ESSEX CT, GOODLETTSVILLE,0.5,CITY OF GOODLETTSVILLE,26400.0,123800.0,150200.0,1995,3,2,0,150
44079,025 12 0 021.00,SINGLE FAMILY,720  DICKERSON PIKE, GOODLETTSVILLE,0.58,CITY OF GOODLETTSVILLE,25500.0,83500.0,109000.0,1953,3,1,0,170
54587,025 12 0 033.00,SINGLE FAMILY,709 CERRO VISTA  DR, GOODLETTSVILLE,0.68,CITY OF GOODLETTSVILLE,30800.0,75200.0,106000.0,1955,2,1,0,174
43077,025 12 0 057.00,SINGLE FAMILY,113  CIMA DR, GOODLETTSVILLE,0.57,CITY OF GOODLETTSVILLE,30800.0,91200.0,122000.0,1958,3,1,0,176
33026,025 16 0 013.00,SINGLE FAMILY,206  MOSS TRL, GOODLETTSVILLE,0.84,CITY OF GOODLETTSVILLE,30800.0,193800.0,224600.0,2003,3,3,0,201
31081,025 16 0 024.00,SINGLE FAMILY,109  MOSS TRL, GOODLETTSVILLE,0.67,CITY OF GOODLETTSVILLE,30800.0,106000.0,136800.0,1954,3,1,0,204
51973,025 16 0 051.00,SINGLE FAMILY,401 ALTA LOMA  RD, GOODLETTSVILLE,0.75,CITY OF GOODLETTSVILLE,25500.0,135300.0,160800.0,1955,3,1,1,209
11698,025 16 0 080.00,SINGLE FAMILY,299  DRAPER CIR, GOODLETTSVILLE,0.44,CITY OF GOODLETTSVILLE,25500.0,137500.0,168800.0,1978,3,2,0,213
15543,025 16 0 080.00,SINGLE FAMILY,299  DRAPER CIR, GOODLETTSVILLE,0.44,CITY OF GOODLETTSVILLE,25500.0,137500.0,168800.0,1978,3,2,0,213
56038,026 01 0 024.00,SINGLE FAMILY,117 EAST  AVE, GOODLETTSVILLE,0.18,CITY OF GOODLETTSVILLE,21100.0,67400.0,96300.0,1930,3,1,0,216
11699,026 01 0 030.00,SINGLE FAMILY,127  EAST AVE, GOODLETTSVILLE,0.16,CITY OF GOODLETTSVILLE,21100.0,79400.0,109700.0,1933,3,1,1,217
23914,026 01 0 050.00,VACANT RESIDENTIAL LAND,130  EAST AVE, GOODLETTSVILLE,0.2,CITY OF GOODLETTSVILLE,21100.0,156200.0,177300.0,1975,3,2,0,218
40660,026 01 0 050.00,VACANT RESIDENTIAL LAND,130  EAST AVE, GOODLETTSVILLE,0.2,CITY OF GOODLETTSVILLE,21100.0,156200.0,177300.0,1975,3,2,0,218
39431,026 01 0 068.00,SINGLE FAMILY,139  TWO MILE PIKE, GOODLETTSVILLE,0.18,CITY OF GOODLETTSVILLE,21100.0,37600.0,62000.0,1945,2,1,0,221
22721,026 01 0 069.00,VACANT RESIDENTIAL LAND,141  TWO MILE PIKE, GOODLETTSVILLE,0.17,CITY OF GOODLETTSVILLE,21100.0,121600.0,142700.0,2015,3,2,0,222
33028,026 01 0 112.00,SINGLE FAMILY,136  TWO MILE PIKE, GOODLETTSVILLE,0.65,CITY OF GOODLETTSVILLE,28100.0,114300.0,152900.0,1941,3,2,0,225
22722,026 01 0 153.00,SINGLE FAMILY,143  TWO MILE PIKE, GOODLETTSVILLE,0.17,CITY OF GOODLETTSVILLE,21100.0,121600.0,142700.0,2015,3,2,0,226
29471,026 01 0 153.00,SINGLE FAMILY,143  TWO MILE PIKE, GOODLETTSVILLE,0.17,CITY OF GOODLETTSVILLE,21100.0,121600.0,142700.0,2015,3,2,0,226
13378,026 02 0 005.00,SINGLE FAMILY,313  WITHAM CT, GOODLETTSVILLE,0.19,CITY OF GOODLETTSVILLE,26000.0,159800.0,185800.0,1991,4,3,0,228
46902,026 02 0 006.00,SINGLE FAMILY,121  LIDGATE TER, GOODLETTSVILLE,0.2,CITY OF GOODLETTSVILLE,26000.0,112100.0,138100.0,1991,3,2,0,229
28178,026 02 0 008.00,SINGLE FAMILY,409  NEWBERRY CT, GOODLETTSVILLE,0.22,CITY OF GOODLETTSVILLE,26000.0,139000.0,165000.0,1990,3,2,0,230
10782,026 02 0 010.00,SINGLE FAMILY,405  NEWBERRY CT, GOODLETTSVILLE,0.27,CITY OF GOODLETTSVILLE,26000.0,138800.0,164800.0,1989,3,2,0,231
54610,026 02 0 010.00,SINGLE FAMILY,405 NEWBERRY  CT, GOODLETTSVILLE,0.27,CITY OF GOODLETTSVILLE,26000.0,138800.0,164800.0,1989,3,2,0,231
26231,026 02 0 015.00,SINGLE FAMILY,111  LIDGATE TER, GOODLETTSVILLE,0.31,CITY OF GOODLETTSVILLE,26000.0,137000.0,163000.0,1990,3,2,0,233
45312,026 02 0 016.00,SINGLE FAMILY,515  HANOVER CT, GOODLETTSVILLE,0.18,CITY OF GOODLETTSVILLE,26000.0,137400.0,163400.0,1991,3,3,0,234
7017,026 02 0 017.00,SINGLE FAMILY,513  HANOVER CT, GOODLETTSVILLE,0.15,CITY OF GOODLETTSVILLE,26000.0,137600.0,163600.0,1991,3,2,0,235
2081,026 02 0 018.00,SINGLE FAMILY,511  HANOVER CT, GOODLETTSVILLE,0.2,CITY OF GOODLETTSVILLE,26000.0,138400.0,164400.0,1991,3,2,0,236
2082,026 02 0 022.00,SINGLE FAMILY,501  HANOVER CT, GOODLETTSVILLE,0.18,CITY OF GOODLETTSVILLE,26000.0,142200.0,168200.0,1991,3,3,0,237
16942,026 02 0 023.00,SINGLE FAMILY,201  ASHTEAD CT, GOODLETTSVILLE,0.22,CITY OF GOODLETTSVILLE,26000.0,110800.0,136800.0,1990,3,3,0,238
8004,026 03 0 006.00,SINGLE FAMILY,331  WITHAM CT, GOODLETTSVILLE,0.21,CITY OF GOODLETTSVILLE,26000.0,159500.0,185500.0,1991,3,3,0,239
673,026 03 0 007.00,SINGLE FAMILY,329  WITHAM CT, GOODLETTSVILLE,0.17,CITY OF GOODLETTSVILLE,26000.0,115900.0,141900.0,1992,3,2,0,240
12410,026 03 0 008.00,SINGLE FAMILY,327  WITHAM CT, GOODLETTSVILLE,0.16,CITY OF GOODLETTSVILLE,26000.0,114800.0,140800.0,1990,3,2,0,241
18387,026 03 0 009.00,SINGLE FAMILY,325  WITHAM CT, GOODLETTSVILLE,0.2,CITY OF GOODLETTSVILLE,26000.0,117500.0,143500.0,1991,3,3,0,242
12411,026 03 0 016.00,SINGLE FAMILY,311  CHISWICK CT, GOODLETTSVILLE,0.25,CITY OF GOODLETTSVILLE,26000.0,157000.0,183000.0,1991,3,3,0,243
39433,026 05 0 013.00,SINGLE FAMILY,207 B  EAST AVE, GOODLETTSVILLE,0.17,CITY OF GOODLETTSVILLE,21100.0,75300.0,96400.0,1977,3,1,0,244
4521,026 05 0 017.00,SINGLE FAMILY,208  EAST AVE, GOODLETTSVILLE,0.2,CITY OF GOODLETTSVILLE,21100.0,130200.0,151300.0,2008,3,2,0,245
19810,026 05 0 023.00,SINGLE FAMILY,302  ROSCOE ST, GOODLETTSVILLE,0.34,CITY OF GOODLETTSVILLE,24000.0,109200.0,152900.0,1938,3,2,0,247
45291,026 05 0 041.00,SINGLE FAMILY,113  ROSCOE ST, GOODLETTSVILLE,0.44,CITY OF GOODLETTSVILLE,28800.0,102500.0,138800.0,1946,2,1,0,248
5810,026 05 0 050.00,SINGLE FAMILY,118  HOLLYWOOD ST, GOODLETTSVILLE,0.33,CITY OF GOODLETTSVILLE,24000.0,164200.0,188200.0,1941,3,2,0,250
14432,026 05 0 050.00,SINGLE FAMILY,118  HOLLYWOOD ST, GOODLETTSVILLE,0.33,CITY OF GOODLETTSVILLE,24000.0,164200.0,188200.0,1941,3,2,0,250
22723,026 05 0 053.00,SINGLE FAMILY,205  ROSCOE ST, GOODLETTSVILLE,0.33,CITY OF GOODLETTSVILLE,24000.0,114900.0,142000.0,1941,2,1,0,252
34761,026 05 0 060.00,SINGLE FAMILY,301  ROSCOE ST, GOODLETTSVILLE,0.44,CITY OF GOODLETTSVILLE,28800.0,165400.0,194200.0,1930,2,1,1,253
21301,026 05 0 098.00,SINGLE FAMILY,201  HOLLYWOOD ST, GOODLETTSVILLE,0.25,CITY OF GOODLETTSVILLE,24000.0,101600.0,125600.0,1948,3,3,0,255
40662,026 05 0 100.00,VACANT RESIDENTIAL LAND,205  HOLLYWOOD ST, GOODLETTSVILLE,0.17,CITY OF GOODLETTSVILLE,21100.0,151500.0,172600.0,2016,3,2,1,257
25020,026 05 0 101.00,SINGLE FAMILY,207  HOLLYWOOD ST, GOODLETTSVILLE,0.24,CITY OF GOODLETTSVILLE,24000.0,118900.0,142900.0,1997,3,2,0,258
31083,026 05 0 117.00,SINGLE FAMILY,309  HOLLYWOOD ST, GOODLETTSVILLE,0.2,CITY OF GOODLETTSVILLE,21100.0,79100.0,100200.0,1952,2,1,0,259
31102,026 06 0 005.00,ZERO LOT LINE,110  HABERSHAM CT, GOODLETTSVILLE,0.14,CITY OF GOODLETTSVILLE,15000.0,77700.0,92700.0,1985,2,1,1,260
50605,026 06 0 006.00,ZERO LOT LINE,112 HABERSHAM  CT, GOODLETTSVILLE,0.23,CITY OF GOODLETTSVILLE,15000.0,79200.0,94200.0,1985,3,2,0,261
39458,026 06 0 010.00,ZERO LOT LINE,120  HABERSHAM CT, GOODLETTSVILLE,0.11,CITY OF GOODLETTSVILLE,15000.0,74700.0,89700.0,1985,3,1,1,262
50606,026 06 0 011.00,ZERO LOT LINE,122 HABERSHAM  CT, GOODLETTSVILLE,0.13,CITY OF GOODLETTSVILLE,15000.0,85000.0,100000.0,1986,3,2,0,263
50607,026 06 0 021.00,ZERO LOT LINE,110 BUTLEIGH  CT, GOODLETTSVILLE,0.08,CITY OF GOODLETTSVILLE,15000.0,78800.0,93800.0,1985,2,1,1,264
16943,026 06 0 028.00,SINGLE FAMILY,128  BROCKHAMPTON CT, GOODLETTSVILLE,0.14,CITY OF GOODLETTSVILLE,26000.0,80700.0,106700.0,1985,3,2,0,265
8919,026 06 0 031.00,SINGLE FAMILY,123  BROCKHAMPTON CT, GOODLETTSVILLE,0.17,CITY OF GOODLETTSVILLE,26000.0,105800.0,131800.0,1984,3,2,0,266
2083,026 06 0 034.00,SINGLE FAMILY,117  BROCKHAMPTON CT, GOODLETTSVILLE,0.15,CITY OF GOODLETTSVILLE,26000.0,97900.0,123900.0,1985,3,2,1,267
33048,026 06 0 034.00,SINGLE FAMILY,117  BROCKHAMPTON CT, GOODLETTSVILLE,0.15,CITY OF GOODLETTSVILLE,26000.0,97900.0,123900.0,1985,3,2,1,267
16944,026 06 0 040.00,SINGLE FAMILY,105  BROCKHAMPTON CT, GOODLETTSVILLE,0.14,CITY OF GOODLETTSVILLE,26000.0,85100.0,111100.0,1985,3,2,0,269
23925,026 06 0 042.00,SINGLE FAMILY,101  BROCKHAMPTON CT, GOODLETTSVILLE,0.17,CITY OF GOODLETTSVILLE,26000.0,95900.0,121900.0,1985,3,2,1,270
50608,026 06 0 042.00,SINGLE FAMILY,101 BROCKHAMPTON  CT, GOODLETTSVILLE,0.17,CITY OF GOODLETTSVILLE,26000.0,95900.0,121900.0,1985,3,2,1,270
16945,026 06 0 043.00,SINGLE FAMILY,115  DORCHESTER CT, GOODLETTSVILLE,0.13,CITY OF GOODLETTSVILLE,26000.0,93100.0,119100.0,1984,3,1,1,272
16946,026 06 0 044.00,SINGLE FAMILY,112  DORCHESTER CT, GOODLETTSVILLE,0.11,CITY OF GOODLETTSVILLE,26000.0,95300.0,121300.0,1984,3,2,0,273
26232,026 06 0 045.00,SINGLE FAMILY,111  DORCHESTER CT, GOODLETTSVILLE,0.11,CITY OF GOODLETTSVILLE,26000.0,95400.0,121400.0,1984,3,2,1,274
16947,026 06 0 050.00,SINGLE FAMILY,101  DORCHESTER CT, GOODLETTSVILLE,0.12,CITY OF GOODLETTSVILLE,26000.0,90500.0,116500.0,1984,3,2,0,275
2084,026 06 0 057.00,ZERO LOT LINE,104  CHESHIRE CT, GOODLETTSVILLE,0.1,CITY OF GOODLETTSVILLE,15000.0,77300.0,92300.0,1985,3,2,0,276
19827,026 06 0 062.00,ZERO LOT LINE,114  CHESHIRE CT, GOODLETTSVILLE,0.08,CITY OF GOODLETTSVILLE,15000.0,78200.0,93200.0,1985,3,2,0,277
26233,026 06 0 069.00,ZERO LOT LINE,128  CHESHIRE CT, GOODLETTSVILLE,0.09,CITY OF GOODLETTSVILLE,15000.0,78200.0,93200.0,1985,2,2,0,278
26234,026 06 0 070.00,ZERO LOT LINE,130  CHESHIRE CT, GOODLETTSVILLE,0.07,CITY OF GOODLETTSVILLE,15000.0,75100.0,90100.0,1985,3,1,1,279
46903,026 06 0 080.00,SINGLE FAMILY,120  BUCKINGHAM CT, GOODLETTSVILLE,0.43,CITY OF GOODLETTSVILLE,26000.0,160900.0,186900.0,1991,4,3,0,280
56061,026 06 0 082.00,SINGLE FAMILY,124 BUCKINGHAM  CT, GOODLETTSVILLE,0.23,CITY OF GOODLETTSVILLE,26000.0,111000.0,137000.0,1988,3,2,0,281
15559,026 06 0 086.00,SINGLE FAMILY,110  OXFORD CT, GOODLETTSVILLE,0.18,CITY OF GOODLETTSVILLE,26000.0,124700.0,150700.0,1989,3,2,0,282
4534,026 06 0 092.00,SINGLE FAMILY,122  OXFORD CT, GOODLETTSVILLE,0.21,CITY OF GOODLETTSVILLE,26000.0,116700.0,142700.0,1992,3,2,0,283
7018,026 06 0 094.00,SINGLE FAMILY,104  HOLLIS CT, GOODLETTSVILLE,0.18,CITY OF GOODLETTSVILLE,26000.0,116400.0,142400.0,1992,3,2,1,284
25044,026 06 0 096.00,SINGLE FAMILY,102  SHEFFIELD CT, GOODLETTSVILLE,0.17,CITY OF GOODLETTSVILLE,26000.0,115000.0,141000.0,1992,3,2,1,285
46904,026 06 0 102.00,SINGLE FAMILY,114  SHEFFIELD CT, GOODLETTSVILLE,0.18,CITY OF GOODLETTSVILLE,26000.0,101200.0,127200.0,1988,3,2,0,286
34783,026 06 0 105.00,SINGLE FAMILY,104  SWANTON CT, GOODLETTSVILLE,0.2,CITY OF GOODLETTSVILLE,26000.0,99100.0,125100.0,1988,3,2,0,287
2085,026 06 0 107.00,SINGLE FAMILY,108  SWANTON CT, GOODLETTSVILLE,0.24,CITY OF GOODLETTSVILLE,26000.0,103200.0,129200.0,1989,3,2,0,288
29499,026 06 0 108.00,SINGLE FAMILY,110  SWANTON CT, GOODLETTSVILLE,0.49,CITY OF GOODLETTSVILLE,26000.0,108600.0,134600.0,1989,3,2,0,289
1215,026 06 0 113.00,SINGLE FAMILY,507  HANOVER CT, GOODLETTSVILLE,0.39,CITY OF GOODLETTSVILLE,26000.0,113900.0,139900.0,1990,3,2,0,290
48751,026 06 0 113.00,SINGLE FAMILY,507 HANOVER  CT, GOODLETTSVILLE,0.39,CITY OF GOODLETTSVILLE,26000.0,113900.0,139900.0,1990,3,2,0,290
26235,026 07 0 005.00,ZERO LOT LINE,104  CHAMPNEY CT, GOODLETTSVILLE,0.11,CITY OF GOODLETTSVILLE,15000.0,77900.0,92900.0,1985,3,1,1,320
18388,026 07 0 012.00,ZERO LOT LINE,118  CHAMPNEY CT, GOODLETTSVILLE,0.07,CITY OF GOODLETTSVILLE,15000.0,89000.0,104000.0,2003,3,2,0,321
54614,026 07 0 012.00,ZERO LOT LINE,118 CHAMPNEY  CT, GOODLETTSVILLE,0.07,CITY OF GOODLETTSVILLE,15000.0,89000.0,104000.0,2003,3,2,0,321
54615,026 07 0 015.00,ZERO LOT LINE,124 CHAMPNEY  CT, GOODLETTSVILLE,0.11,CITY OF GOODLETTSVILLE,15000.0,78500.0,93500.0,1987,3,2,0,323
53148,026 07 0 021.00,ZERO LOT LINE,136 CHAMPNEY  CT, GOODLETTSVILLE,0.06,CITY OF GOODLETTSVILLE,15000.0,80600.0,95600.0,1987,2,1,1,324
38108,026 07 0 033.00,SINGLE FAMILY,105  HARDWICK CT, GOODLETTSVILLE,0.13,CITY OF GOODLETTSVILLE,26000.0,105100.0,131100.0,1985,3,2,0,325
29500,026 07 0 042.00,SINGLE FAMILY,107  BUTTERFIELD CT, GOODLETTSVILLE,0.17,CITY OF GOODLETTSVILLE,26000.0,99300.0,125300.0,1985,3,2,1,326
40684,026 07 0 043.00,SINGLE FAMILY,109  BUTTERFIELD CT, GOODLETTSVILLE,0.16,CITY OF GOODLETTSVILLE,26000.0,82100.0,108100.0,1985,3,2,0,327
1217,026 07 0 048.00,SINGLE FAMILY,103  AINTREE CT, GOODLETTSVILLE,0.11,CITY OF GOODLETTSVILLE,26000.0,110800.0,136800.0,1986,3,2,0,328
48752,026 07 0 049.00,SINGLE FAMILY,105 AINTREE  CT, GOODLETTSVILLE,0.13,CITY OF GOODLETTSVILLE,26000.0,98500.0,124500.0,1986,3,2,0,329
26236,026 07 0 059.00,SINGLE FAMILY,109  WELSHWOOD CT, GOODLETTSVILLE,0.11,CITY OF GOODLETTSVILLE,26000.0,99500.0,125500.0,1986,3,2,1,330
3279,026 07 0 064.00,SINGLE FAMILY,119  WELSHWOOD CT, GOODLETTSVILLE,0.16,CITY OF GOODLETTSVILLE,26000.0,89700.0,115700.0,1986,3,2,0,331
3280,026 07 0 065.00,SINGLE FAMILY,101  HEATHCOTE CT, GOODLETTSVILLE,0.18,CITY OF GOODLETTSVILLE,26000.0,95000.0,121000.0,1986,3,2,0,332
28179,026 07 0 065.00,SINGLE FAMILY,101  HEATHCOTE CT, GOODLETTSVILLE,0.18,CITY OF GOODLETTSVILLE,26000.0,95000.0,121000.0,1986,3,2,0,332
15560,026 07 0 067.00,SINGLE FAMILY,105  HEATHCOTE CT, GOODLETTSVILLE,0.13,CITY OF GOODLETTSVILLE,26000.0,79800.0,105800.0,1986,2,2,0,334
33050,026 07 0 074.00,SINGLE FAMILY,119  HEATHCOTE CT, GOODLETTSVILLE,0.19,CITY OF GOODLETTSVILLE,26000.0,79200.0,105200.0,1986,2,2,0,335
50610,026 07 0 075.00,SINGLE FAMILY,121 HEATHCOTE  CT, GOODLETTSVILLE,0.14,CITY OF GOODLETTSVILLE,26000.0,117400.0,143400.0,1986,3,2,1,336
25049,026 07 0 093.00,SINGLE FAMILY,126  CORBRIDGE CT, GOODLETTSVILLE,0.15,CITY OF GOODLETTSVILLE,26000.0,87700.0,113700.0,1986,3,2,0,337
25050,026 07 0 095.00,SINGLE FAMILY,122  CORBRIDGE CT, GOODLETTSVILLE,0.16,CITY OF GOODLETTSVILLE,26000.0,91400.0,117400.0,1986,3,2,0,338
